course_field,course_code
"Food, Hospitality and Personal Services",354340
"Food, Hospitality and Personal Services",354360
"Food, Hospitality and Personal Services",283144
"Food, Hospitality and Personal Services",283818
"Food, Hospitality and Personal Services",553320
"Food, Hospitality and Personal Services",334108
"Food, Hospitality and Personal Services",334141
"Food, Hospitality and Personal Services",334164
"Food, Hospitality and Personal Services",CRS1201422
"Food, Hospitality and Personal Services",553050
"Food, Hospitality and Personal Services",530041
"Food, Hospitality and Personal Services",160051
"Food, Hospitality and Personal Services",283126
"Food, Hospitality and Personal Services",283809
"Food, Hospitality and Personal Services",283810
"Food, Hospitality and Personal Services",757112
"Food, Hospitality and Personal Services",484400
"Food, Hospitality and Personal Services",484410
"Food, Hospitality and Personal Services",553160
"Food, Hospitality and Personal Services",530531
"Food, Hospitality and Personal Services",354001
"Food, Hospitality and Personal Services",354040
"Food, Hospitality and Personal Services",354060
Health,160591
Health,160601
Health,592090
Health,170080
Health,590180
Health,160481
Health,428600
Health,513620
Health,513625
Health,513630
Health,513635
Health,513640
Health,513645
Health,513626
Health,753200
Health,751228
Health,302560
Health,428000
Health,513715
Health,300562
Health,392610
Health,392611
Health,335114
Health,335170
Health,300676
Health,330167
Health,335115
Health,300435
Health,302436
Health,302438
Health,302000
Health,550170
Health,170130
Health,170140
Health,214738
Health,160610
Health,170120
Health,590590
Health,482800
Health,213267
Health,214860
Health,105535
Health,590730
Health,160461
Health,105504
Health,105529
Health,300436
Health,392609
Health,392615
Health,105530
Health,428100
Health,365113
Health,283305
Health,757642
Health,187412
Health,757643
Health,283334
Health,105516
Health,283335
Health,428500
Health,214368
Health,170010
Health,723521
Health,751286
Health,170150
Health,283301
Health,365266
Health,138302
Health,590350
Health,606050
Health,606060
Health,ECNH03
Health,552181
Health,170040
Health,170020
Health,170030
Health,723514
Health,723500
Health,729212
Health,365268
Health,365269
Health,ECNH01
Health,552052
Health,365267
Health,ECNH05
Health,723506
Health,552060
Health,609155
Health,187405
Health,197405
Health,590360
Health,105505
Health,105528
Health,365063
Health,428200
Health,757630
Health,757616
Health,757603
Health,757611
Health,757617
Health,283322
Health,214064
Health,214110
Health,214114
Health,483355
Health,483365
Health,483375
Health,365273
Health,214120
Health,214124
Health,214134
Health,368083
Health,429700
Health,138403
Health,728145
Health,728147
Health,728011
Health,607052
Health,607051
Health,160491
Health,785000
Health,300560
Health,302437
Health,160010
Health,105527
Health,365084
Health,726570
Health,335153
Health,335167
Health,606010
Health,489811
Health,483400
Health,489828
Health,609570
Health,105501
Health,105502
Health,105526
Health,283308
Health,552200
Health,365101
Health,590113
Health,162511
Health,396664
Health,396665
Health,726550
Health,726555
Health,726560
Health,726568
Health,214650
Health,214651
Health,214654
Health,214655
Health,214657
Health,335101
Health,335151
Health,335164
Health,606000
Health,606001
Health,757101
Health,757102
Health,757103
Health,757104
Health,757105
Health,757106
Health,650170
Health,365103
Health,606004
Health,283345
Health,513735
Health,483610
Health,483605
Health,483615
Health,726540
Health,726542
Health,726544
Health,726546
Health,757111
Health,757113
Health,757114
Health,757115
Health,757116
Health,105518
Health,105519
Health,105533
Health,483600
Health,483620
Health,185028
Health,189928
Health,609568
Health,609150
Health,105509
Health,187481
Health,105510
Health,552100
Health,283321
Health,483650
Health,757647
Health,107016
Health,107018
Health,757645
Health,105707
Health,428300
Health,160471
Health,105513
Health,365107
Health,723555
Health,214300
Health,214301
Health,335150
Health,335168
Health,483700
Health,187408
Health,513700
Health,214384
Health,483750
Health,183043
Health,187483
Health,723557
Health,214200
Health,214207
Health,428400
Health,283331
Health,283327
Health,365116
Health,214808
Health,483800
Health,513761
Health,513766
Health,392612
Health,392613
Health,170160
Health,105506
Health,365106
Health,723560
Health,214400
Health,214401
Health,214408
Health,483850
Health,187407
Health,723565
Health,214451
Health,483900
Health,757500
Health,391678
Health,391679
Health,211807
Health,211810
Health,283314
Health,429850
Health,138130
Health,727501
Health,727502
Health,727506
Health,187065
Health,753230
Health,391680
Health,391681
Health,483860
Health,283315
Health,757650
Health,160571
Health,751317
Health,513915
Health,513750
Health,302435
Health,365166
Health,513705
Health,513720
Health,513745
Health,513965
Health,751318
Health,300428
Health,302419
Health,105514
Health,723566
Health,330138
Health,330168
Health,484150
Health,187406
Health,755100
Health,606030
Health,365191
Health,335100
Health,335154
Health,338160
Health,606020
Health,606021
Health,609580
Health,609080
Health,283329
Health,723567
Health,170090
Health,170100
Health,170110
Health,723570
Health,214964
Health,513970
Health,214954
Health,429750
Health,109955
Health,109946
Health,729651
Health,729660
Health,729453
Health,729454
Health,489980
Health,489981
Health,109950
Health,109951
Health,591150
Health,591160
Health,591070
Health,360045
Health,335076
Health,335066
Health,335013
Health,335064
Health,335015
Health,335055
Health,335079
Health,335052
Health,335073
Health,335016
Health,335077
Health,335054
Health,335078
Health,335074
Health,335014
Health,335053
Health,335075
Health,552130
Health,590710
Health,590713
Health,ECNH20
Health,552053
Health,591050
Health,759055
Health,552110
Health,187494
Health,189911
Health,198002
Health,552230
Health,725505
Health,593030
Health,214087
Health,489802
Health,489803
Health,214090
Health,214091
Health,214098
Health,489808
Health,489809
Health,593070
Health,593040
Information Technology,10702NAT-AC
Information Technology,10702NAT-AO
Information Technology,10702NAT-AS
Information Technology,10702NAT-DC
Information Technology,10702NAT-DO
Information Technology,10702NAT-DS
Information Technology,10702NAT-PC
Information Technology,10702NAT-PO
Information Technology,10702NAT-PS
Information Technology,CUA60620-VC
Information Technology,CUA60620-VO
Information Technology,CUA60620-VS
Information Technology,CUA60620-FC
Information Technology,CUA60620-FS
Information Technology,630200
Information Technology,160160
Information Technology,160161
Information Technology,592030
Information Technology,592050
Information Technology,283465
Information Technology,283820
Information Technology,513500
Information Technology,135705
Information Technology,135700
Information Technology,513505
Information Technology,513510
Information Technology,513515
Information Technology,513520
Information Technology,607064
Information Technology,603236
Information Technology,609232
Information Technology,754500
Information Technology,754505
Information Technology,283461
Information Technology,283815
Information Technology,590260
Information Technology,392620
Information Technology,392624
Information Technology,723999
Information Technology,724000
Information Technology,482400
Information Technology,754100
Information Technology,754120
Information Technology,720141
Information Technology,720142
Information Technology,754130
Information Technology,754110
Information Technology,212717
Information Technology,590130
Information Technology,450030
Information Technology,603230
Information Technology,603231
Information Technology,751504
Information Technology,609167
Information Technology,300568
Information Technology,727052
Information Technology,603235
Information Technology,609231
Information Technology,570125
Information Technology,723980
Information Technology,756522
Information Technology,513105
Information Technology,513106
Information Technology,513111
Information Technology,513110
Information Technology,590281
Information Technology,722470
Information Technology,722472
Information Technology,300542
Information Technology,543010
Information Technology,543015
Information Technology,543025
Information Technology,543030
Information Technology,543035
Information Technology,603225
Information Technology,630100
